MONTH,MAX,MIN,MEAN,PCPN,SNOW
JAN,48.9,32.2,40.6,3.54,1.0
FEB,53.7,35.8,44.7,3.90,1.7
MAR,62.5,43.5,53.0,5.13,0.4
APR,71.6,51.9,61.7,5.54,0.0
MAY,79.3,60.7,70.0,5.39,0.0
JUN,87.2,68.7,78.0,3.40,0.0
JUL,91.0,71.9,81.4,3.92,0.0
AUG,90.7,70.8,80.8,3.57,0.0
SEP,83.9,63.9,73.9,3.05,0.0
OCT,72.9,52.9,62.9,4.62,0.0
NOV,60.4,42.3,51.3,4.69,0.1
DEC,51.2,35.2,43.2,5.10,0.6
ANN,71.1,52.5,61.8,51.85,3.8
