MONTH,MAX,MIN,MEAN,PCPN,SNOW
JAN,46.9,27.2,37.0,2.67,2.2
FEB,51.2,30.6,40.9,2.42,3.4
MAR,60.3,38.1,49.2,3.91,2.2
APR,69.6,47.0,58.3,4.98,0.0
MAY,76.6,55.8,66.2,4.81,0.0
JUN,84.9,63.9,74.4,3.85,0.0
JUL,89.1,67.9,78.5,3.67,0.0
AUG,88.7,66.5,77.6,3.42,0.0
SEP,81.4,58.5,69.9,4.06,0.0
OCT,70.8,48.0,59.4,3.81,0.0
NOV,59.0,38.0,48.5,3.96,0.2
DEC,49.2,30.2,39.7,2.94,1.5
ANN,69.0,47.6,58.3,44.50,9.5
