MONTH,MAX,MIN,MEAN,PCPN,SNOW
JAN,50.5,30.9,40.7,3.50,1.1
FEB,55.2,34.2,44.7,3.97,1.6
MAR,63.7,41.8,52.7,4.96,0.5
APR,72.8,50.1,61.4,5.59,0.0
MAY,80.5,59.3,69.9,5.08,0.0
JUN,88.2,67.7,78.0,3.55,0.0
JUL,91.7,71.2,81.4,3.33,0.0
AUG,91.5,70.1,80.8,3.16,0.0
SEP,85.1,62.9,74.0,3.01,0.0
OCT,74.2,50.9,62.6,4.47,0.0
NOV,61.9,40.2,51.1,4.72,0.0
DEC,52.6,33.3,43.0,5.08,0.6
ANN,72.3,51.1,61.7,50.42,3.8
